Product,Price,Shades,Number of Shades,Description,Types,Category
Mineralize Skinfinish Natural,$36.00,"['DarkDeepest', 'DarkDeep', 'DarkGolden', 'DarkTan', 'Dark', 'MediumDeep', 'MediumDark', 'MediumGolden', 'MediumTan', 'MediumPlus', 'Medium', 'LightPlus', 'Light', 'GiveMeSun!']",14,"Medium Coverage, Natural Finish, Nourishing",Powder,Face
Bronzing Powder,$30.00,"['Bronze', 'Golden', 'MatteBronze', 'RefinedGolden']",4,"Sheer Coverage, Natural Finish, Sun-Kissed",Powder,Face
Blot Powder / Pressed,$29.00,"['DeepDark', 'Dark', 'MediumDark', 'Medium', 'Light']",5,"Sheer Coverage, Matte Finish, Controls Oil",Powder,Face
Studio Waterweight Powder / Pressed ,$36.00,"['DarkDeep', 'Dark', 'MediumDark']",3,"Medium Buildable Coverage, Natural Finish, Dual-Toned",Powder,Face
Studio Fix Perfecting Powder,$29.00,"['DarkDeep', 'Dark', 'ExtraLight', 'MediumDeep', 'MediumDark', 'MediumPlus', 'Medium', 'LightPlus', 'Light']",9,"Loose Powder, Sheer Coverage, Matte Finish",Powder,Face
Blot Powder / Loose,$29.00,[],0,"Sheer Coverage, Matte Finish, Controls Oil",Powder,Face
Prep + Prime Transparent Finishing Powder,$30.00,[],0,"Sets Makeup, Reduces Shine, For All Skin Tones",Powder,Face
Studio Finish Face Powder,$29.00,[],0,"Even Coverage, Radiant Finish, Pigmented",Powder,Face
Shaping Powder (Pro Palette Refill Pan),$17.00,"['Emphasize', 'Lightsweep', 'SoftFocus', 'WarmLight']",4,"Medium Coverage, Matte Finish, Highlighting",Powder,Face
Sculpting Powder (Pro Palette Refill Pan),$17.00,"['BoneBeige', 'Definitive', 'Sculpt', 'Shadester', 'Shadowy']",5,"Sheer Coverage, Sheen finish, Sculpts",Powder,Face
Studio Fix Pastels,$30.00,[],0,"Full Coverage, Matte Finish, Controls Shine",Powder,Face
Powder Blush,$25.00,"['Blunt', 'Blushbaby', 'Breathofplum', 'BurntPepper', 'Coppertone', 'DesertRose', 'Fever', 'FilmNoir', 'FleurPower', 'Format', 'FranklyScarlet', 'FullFuchsia', 'Gingerly', 'Harmony', 'Melba', 'Mocha', 'Peaches', 'Peachtwist', 'Peachykeen', 'PeonyPetal', 'PinchMe', ""PinchO'Peach"", 'PinkSwoon', 'Prism', 'Raizin', 'Sincere', 'Sketch', 'Sunbasque', 'SwissChocolate', 'WellDressed']",30,"5+ Textures, Buildable, Professional",Bronzer,Face
Mineralize Blush,$30.00,"['LikeMe,LoveMe', 'FlirtingWithDanger', 'Bubbles,Please', 'SweetEnough', 'Hey,Coral,Hey...', 'NaturallyFlawless', 'HumourMe', 'Happy-Go-Rosy', 'Dainty', 'Gentle', 'LoveJoy', 'LoveThing', 'NewRomance', 'PetalPower', 'WarmSoul']",15,"Baked Minerals, Lightweight, Sheer Coverage",Bronzer,Face
Glow Play Blush,$30.00,"['Blush,Please', 'TotallySynced', 'HeatIndex', 'NoShame!', ""That'sPeachy"", 'SoNatural', 'Groovy', 'CheerUp', 'CheekyDevil', 'RosyDoesit', 'Grand']",11,"Bouncy Blush, Creamy Buildable Formula, Radiant Finish",Bronzer,Face
Extra Dimension Blush,$30.00,"['HushedTone', 'FairlyPrecious', 'SweetsforMySweet', 'WrappedCandy', 'JustaPinch', 'CheekyBits', 'HardtoGet', 'IntothePink', 'RosyCheeks', 'FauxSure!']",10,"Hybrid Formula, Light-Reflecting, Long-Wearing",Bronzer,Face
Powder Blush / Small,$17.00,"['BrightPink', 'BrightResponse', 'NeverSayNever', 'SaucyMiss']",4,"6 Shades, 2 Textures, Small Pan",Bronzer,Face
Powder Blush – Split Pan: Dynastic Fantastic,$31.00,[],0,"Blush Duo, Buildable, Special Packaging",Bronzer,Face
Studio Fix 24-Hour Smooth Wear Concealer,$24.00,"['NW55', 'NW60', 'NW53', 'NW51', 'NC55', 'NW50', 'NC50', 'NC48', 'NW45', 'NC45', 'NC44', 'NC43', 'NW42', 'NC42', 'NW40', 'NC40', 'NC38', 'NW35', 'NC35', 'NW34', 'NW32', 'NC30', 'NW30', 'NW28', 'NW25', 'NC25', 'NW24', 'NW22', 'NW20', 'NC20', 'NW15', 'NC15', 'NW10', 'NC10']",34,"Full Buildable Coverage, Natural Finish, All-Day 24-Hour Wear",Concealer,Face
Pro Longwear Concealer,$26.00,"['NC15', 'NC20', 'NC25', 'NC30', 'NC35', 'NC42', 'NC45', 'NC50', 'NW15', 'NW20', 'NW25', 'NW30', 'NW35', 'NW40', 'NW45', 'NW50']",16,"Full Coverage, Matte Finish, 24-Hour Wear",Concealer,Face
Studio Waterweight Concealer,$25.00,"['NC20', 'NC35', 'NW20']",3,"Medium-Full Buildable Coverage, Natural Finish, Ultra-Fluid",Concealer,Face
Mineralize Concealer,$26.00,"['NC15', 'NC20', 'NC25', 'NC30', 'NC42', 'NC45', 'NW15', 'NW20', 'NW25', 'NW30', 'NW35']",11,"Sheer Coverage, Natural Finish, Hydrating",Concealer,Face
Studio Fix Perfecting Stick,$24.00,"['NC15', 'NC20', 'NC25', 'NC30', 'NC35', 'NC42', 'NC45', 'NC50', 'NW15', 'NW20', 'NW25', 'NW30', 'NW35', 'NW40', 'NW45', 'NW50']",16,"Medium Coverage, Natural Finish, Water-Resistant",Concealer,Face
Pro Palette Studio Finish Skin Corrector x 6,$40.00,[],0,"6 Colour Corrector Shades, Ideal for Pro Artists, Portable",Concealer,Face
Studio Fix Conceal and Correct Palette,$35.00,"['Light', 'Medium', 'MediumDeep', 'Dark', 'Deep', 'ExtraDeep']",6,"8-Hour Wear, Non-Creasing, Stay-True Colour",Concealer,Face
Studio Finish SPF 35 Concealer,$24.00,"['NC10', 'NC15', 'NC20', 'NC25', 'NC30', 'NC35', 'NC40', 'NC42', 'NC45', 'NC48', 'NC50', 'NW10', 'NW15', 'NW20', 'NW25', 'NW30', 'NW35', 'NW40', 'NW43', 'NW45', 'NW50', 'NW55', 'W10']",23,"Full Coverage, Natural Finish, SPF 35",Concealer,Face
M·A·C Studio Finish Concealer (Pro Palette Refill Pan),$14.00,"['NC45', 'NW40', 'NW50', 'NW55']",4,"12-Hour Wear, Full Coverage, Pro Palette Pan",Concealer,Face
M·A·C Studio Finish Skin Corrector (Pro Palette Refill Pan),$14.00,"['BurntCoral', 'Caramel', 'DeepBrown', 'Ochre', 'PureOrange', 'Terracotta']",6,"24-Hour Wear, Water-Resistant, Pro Palette Pan",Concealer,Face
